customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,product_interest,promotion_frequency,update_frequency
Jamie Kunitz,5,61,4427,2,4,1,241,hats,Every 2 days,Every update
Jane Waco,6,42,7722,2,3,1,231,shirt,Every 2 days,Every update
Janet Lee,5,119,2203,3,4,3,343,polo,Every 2 weeks,Updates on interest
Janet Martin,6,37,3159,2,3,2,232,joggers,Every 2 weeks,Updates on interest
Janet Molinari,5,37,1804,2,4,3,243,shirt,Every 2 weeks,Updates on interest
Jas O'Carroll,6,92,1935,3,3,3,333,formals,Every 2 weeks,Updates on interest
Jason Fortune-,5,225,955,4,4,4,444,shoes,Once a month,No updates
Jason Gross,6,2,2241,1,3,3,133,shirt,Every 2 days,Every update
Jason Klamczynski,3,287,384,4,4,4,444,shoes,Once a month,No updates
Jasper Cacioppo,4,114,72,3,4,4,344,hoodies,Every 2 weeks,Updates on interest
Jay Fein,6,105,1913,3,3,3,333,hats,Every 2 weeks,Updates on interest
Jay Kimmel,8,44,2710,2,2,2,222,hoodies,Every 2 weeks,Updates on interest
Jenna Caffey,1,175,1058,3,4,4,344,trendy sections,Every 2 weeks,Updates on interest
Jennifer Braxton,10,7,1792,1,1,3,113,formals,Every 2 days,Every update
Jennifer Ferguson,6,2,2372,1,3,2,132,polo,Every 2 days,Every update
Jennifer Halladay,4,5,310,1,4,4,144,joggers,Every 2 days,Every update
Jennifer Jackson,5,483,710,4,4,4,444,shoes,Once a month,No updates
Jennifer Patt,7,37,1669,2,2,3,223,joggers,Every 2 weeks,Updates on interest
Jeremy Ellison,6,193,1388,4,3,3,433,shoes,Every 2 weeks,Updates on interest
Jeremy Farry,11,121,1082,3,1,4,314,tracksuits,Every week,Every update
Jeremy Lonsdale,6,49,3173,2,3,2,232,shirt,Every 2 weeks,Updates on interest
Jeremy Pistek,7,8,3636,1,2,2,122,trendy sections,Every 2 days,Every update
Jessica Myrick,7,102,1733,3,2,3,323,hats,Every 2 weeks,Updates on interest
Jesus Ocampo,5,215,1091,4,4,4,444,shoes,Once a month,No updates
Jill Fjeld,8,54,4198,2,2,1,221,joggers,Every 2 days,Every update
Jill Matthias,5,0,304,1,4,4,144,trendy sections,Every 2 days,Every update
Jill Stevenson,4,119,1418,3,4,3,343,jeans,Every 2 weeks,Updates on interest
Jim Epp,7,48,7755,2,2,1,221,jeans,Every 2 days,Every update
Jim Karlsson,7,61,3761,2,2,2,222,hoodies,Every 2 weeks,Updates on interest
Jim Kriz,9,180,4762,3,1,1,311,hats,Every 2 days,Every update
Jim Mitchum,5,8,865,1,4,4,144,tracksuits,Every 2 days,Every update
Jim Radford,2,593,1157,4,4,3,443,joggers,Every 2 weeks,Updates on interest
Jim Sink,4,42,1131,2,4,4,244,shirt,Every 2 weeks,Updates on interest
Jocasta Rupert,1,68,864,2,4,4,244,shirt,Every 2 weeks,Updates on interest
Joe Elijah,10,46,8698,2,1,1,211,joggers,Every 2 days,Every update
Joe Kamberova,10,84,4866,3,1,1,311,polo,Every 2 days,Every update
Joel Eaton,13,51,6761,2,1,1,211,tracksuits,Every 2 days,Every update
Joel Jenkins,2,753,195,4,4,4,444,trendy sections,Once a month,No updates
John Castell,9,158,2773,3,1,2,312,shoes,Every week,Every update
John Dryer,5,117,2153,3,4,3,343,polo,Every 2 weeks,Updates on interest
John Grady,6,223,1507,4,3,3,433,shoes,Every 2 weeks,Updates on interest
John Huston,6,174,529,3,3,4,334,shoes,Every 2 weeks,Updates on interest
John Lee,11,21,9801,1,1,1,111,polo,Every 2 days,Every update
John Lucas,6,614,2725,4,3,2,432,hoodies,Every 2 weeks,Updates on interest
John Murray,7,109,7624,3,2,1,321,jeans,Every 2 days,Every update
John Stevenson,5,534,3868,4,4,1,441,shoes,Every 2 days,Every update
Jonathan Doherty,11,394,7610,4,1,1,411,polo,Every 2 days,Every update
Jonathan Howell,7,41,959,2,2,4,224,polo,Every 2 weeks,Updates on interest
Joni Blumstein,3,737,900,4,4,4,444,formals,Once a month,No updates
Joni Sundaresam,5,463,470,4,4,4,444,oversize,Once a month,No updates
Joni Wasserman,7,5,1243,1,2,3,123,hoodies,Every 2 days,Every update
Joseph Airdo,8,92,6492,3,2,1,321,hats,Every 2 days,Every update
Joseph Holt,6,29,7955,1,3,1,131,oversize,Every 2 days,Every update
Joy Bell-,7,43,644,2,2,4,224,oversize,Every 2 weeks,Updates on interest
Joy Daniels,6,112,386,3,3,4,334,joggers,Every 2 weeks,Updates on interest
Joy Smith,6,28,2517,1,3,2,132,jeans,Every 2 days,Every update
Julia Barnett,5,7,2518,1,4,2,142,polo,Every 2 days,Every update
Julia Dunbar,3,300,696,4,4,4,444,jeans,Once a month,No updates
Julia West,4,461,1429,4,4,3,443,tracksuits,Every 2 weeks,Updates on interest
Juliana Krohn,3,28,3748,1,4,2,142,joggers,Every 2 days,Every update
Julie Creighton,5,57,858,2,4,4,244,hats,Every 2 weeks,Updates on interest
Julie Kriz,10,117,2934,3,1,2,312,jeans,Every week,Every update
Julie Prescott,9,102,1707,3,1,3,313,shirt,Every week,Every update
Justin Deggeller,8,41,8828,2,2,1,221,shoes,Every 2 days,Every update
Justin Ellison,3,20,2698,1,4,2,142,tracksuits,Every 2 days,Every update
Justin Hirsh,4,404,2257,4,4,3,443,hoodies,Every 2 weeks,Updates on interest
Justin MacKendrick,10,57,2834,2,1,2,212,hats,Every week,Every update
Justin Ritter,5,33,2202,2,4,3,243,tracksuits,Every 2 weeks,Updates on interest
Kalyca Meade,6,14,2260,1,3,2,132,shoes,Every 2 days,Every update
Karen Bern,7,4,3153,1,2,2,122,joggers,Every 2 days,Every update
Karen Carlisle,6,407,2121,4,3,3,433,shoes,Every 2 weeks,Updates on interest
Karen Daniels,5,484,8282,4,4,1,441,oversize,Every 2 days,Every update
Karen Ferguson,7,97,10605,3,2,1,321,shoes,Every 2 days,Every update
Karen Seio,3,295,89,4,4,4,444,oversize,Once a month,No updates
Karl Braun,9,296,1570,4,1,3,413,joggers,Every week,Every update
Katharine Harms,8,40,3313,2,2,2,222,trendy sections,Every 2 weeks,Updates on interest
Katherine Ducich,6,41,1889,2,3,3,233,oversize,Every 2 weeks,Updates on interest
Katherine Hughes,6,1,3101,1,3,2,132,hoodies,Every 2 days,Every update
Katherine Murray,8,56,5620,2,2,1,221,shoes,Every 2 days,Every update
Katherine Nockton,9,19,2618,1,1,2,112,shoes,Every 2 days,Every update
Katrina Bavinger,3,117,909,3,4,4,344,hoodies,Every 2 weeks,Updates on interest
Katrina Edelman,8,26,1686,1,2,3,123,shirt,Every 2 days,Every update
Katrina Willman,5,96,4417,3,4,1,341,polo,Every 2 days,Every update
Kean Nguyen,5,52,2172,2,4,3,243,trendy sections,Every 2 weeks,Updates on interest
Kean Takahito,7,391,3059,4,2,2,422,hats,Every 2 weeks,Updates on interest
Kean Thornton,10,100,4643,3,1,1,311,oversize,Every 2 days,Every update
Keith Dawkins,12,112,8182,3,1,1,311,hoodies,Every 2 days,Every update
Keith Herrera,7,22,5953,1,2,1,121,joggers,Every 2 days,Every update
Kelly Andreada,7,36,1520,2,2,3,223,oversize,Every 2 weeks,Updates on interest
Kelly Collister,4,97,3908,3,4,1,341,polo,Every 2 days,Every update
Kelly Lampkin,8,16,5016,1,2,1,121,joggers,Every 2 days,Every update
Kelly Williams,4,771,449,4,4,4,444,tracksuits,Once a month,No updates
Ken Black,12,230,2746,4,1,2,412,shoes,Every week,Every update
Ken Brennan,7,1,984,1,2,4,124,tracksuits,Every 2 days,Every update
Ken Dana,5,289,2244,4,4,3,443,oversize,Every 2 weeks,Updates on interest
Ken Heidel,9,58,3919,2,1,1,211,polo,Every 2 days,Every update
Ken Lonsdale,12,47,14174,2,1,1,211,trendy sections,Every 2 days,Every update
Khloe Miller,5,15,454,1,4,4,144,oversize,Every 2 days,Every update
Kimberly Carter,4,57,1145,2,4,4,244,hoodies,Every 2 weeks,Updates on interest
Kristen Hastings,7,2,5991,1,2,1,121,jeans,Every 2 days,Every update
Kristina Nunn,8,98,2281,3,2,2,322,oversize,Every 2 weeks,Updates on interest
Kunst Miller,8,28,4909,1,2,1,121,shoes,Every 2 days,Every update
Larry Blacks,3,48,50,2,4,4,244,shoes,Every 2 weeks,Updates on interest
Larry Hughes,3,151,288,3,4,4,344,oversize,Every 2 weeks,Updates on interest
Larry Tron,3,26,330,1,4,4,144,joggers,Every 2 days,Every update
Laura Armstrong,11,154,8675,3,1,1,311,jeans,Every 2 days,Every update
Laurel Beltran,8,152,4987,3,2,1,321,hoodies,Every 2 days,Every update
Laurel Elliston,6,21,1469,1,3,3,133,oversize,Every 2 days,Every update
Laurel Workman,5,88,2238,3,4,3,343,joggers,Every 2 weeks,Updates on interest
Lauren Leatherbury,6,249,2741,4,3,2,432,shoes,Every 2 weeks,Updates on interest
Lela Donovan,1,552,5,4,4,4,444,shoes,Once a month,No updates
Lena Cacioppo,8,27,2580,1,2,2,122,polo,Every 2 days,Every update
Lena Creighton,12,16,7661,1,1,1,111,oversize,Every 2 days,Every update
Lena Hernandez,9,21,2296,1,1,2,112,jeans,Every 2 days,Every update
Lena Radford,6,26,5142,1,3,1,131,shirt,Every 2 days,Every update
Linda Cazamias,8,41,4492,2,2,1,221,jeans,Every 2 days,Every update
Linda Southworth,6,178,2845,3,3,2,332,shoes,Every 2 weeks,Updates on interest
Lindsay Castell,4,436,3247,4,4,2,442,shoes,Every 2 weeks,Updates on interest
Lindsay Shagiari,9,20,2988,1,1,2,112,tracksuits,Every 2 days,Every update
Lindsay Williams,6,33,3231,2,3,2,232,shoes,Every 2 weeks,Updates on interest
Lisa DeCherney,4,414,1962,4,4,3,443,hoodies,Every 2 weeks,Updates on interest
Lisa Hazard,4,239,318,4,4,4,444,hats,Once a month,No updates
Lisa Ryan,5,132,1879,3,4,3,343,oversize,Every 2 weeks,Updates on interest
Liz Carlisle,5,54,2095,2,4,3,243,jeans,Every 2 weeks,Updates on interest
Liz MacKendrick,5,391,1347,4,4,3,443,hats,Every 2 weeks,Updates on interest
Liz Pelletier,4,40,757,2,4,4,244,joggers,Every 2 weeks,Updates on interest
Liz Preis,7,9,3654,1,2,2,122,shirt,Every 2 days,Every update
Liz Thompson,8,34,2936,2,2,2,222,hoodies,Every 2 weeks,Updates on interest
Liz Willingham,3,205,1259,4,4,3,443,formals,Every 2 weeks,Updates on interest
Logan Currie,9,13,2632,1,1,2,112,jeans,Every 2 days,Every update
Logan Haushalter,9,385,1740,4,1,3,413,hats,Every week,Every update
Lori Olson,5,2,644,1,4,4,144,shirt,Every 2 days,Every update
Luke Foster,7,22,3931,1,2,1,121,tracksuits,Every 2 days,Every update
Luke Schmidt,6,96,1010,3,3,4,334,hoodies,Every 2 weeks,Updates on interest
Luke Weiss,7,21,5420,1,2,1,121,hoodies,Every 2 days,Every update
Lycoris Saunders,3,777,368,4,4,4,444,tracksuits,Once a month,No updates
Lynn Smith,6,34,1007,2,3,4,234,formals,Every 2 weeks,Updates on interest
Magdelene Morse,4,168,1315,3,4,3,343,oversize,Every 2 weeks,Updates on interest
Marc Crier,8,76,2727,3,2,2,322,tracksuits,Every 2 weeks,Updates on interest
Marc Harrigan,6,119,2394,3,3,2,332,hoodies,Every 2 weeks,Updates on interest
Maria Bertelson,10,48,1548,2,1,3,213,hoodies,Every week,Every update
Maria Etezadi,10,42,10663,2,1,1,211,hats,Every 2 days,Every update
Maria Zettner,4,30,594,1,4,4,144,shoes,Every 2 days,Every update
Maribeth Dona,7,117,3766,3,2,2,322,formals,Every 2 weeks,Updates on interest
Maribeth Schnelling,10,273,7443,4,1,1,411,shirt,Every 2 days,Every update
Maribeth Yedwab,7,29,2254,1,2,3,123,tracksuits,Every 2 days,Every update
Marina Lichtenstein,9,69,2723,2,1,2,212,shirt,Every week,Every update
Maris LaWare,6,54,2922,2,3,2,232,tracksuits,Every 2 weeks,Updates on interest
Mark Cousins,5,399,4432,4,4,1,441,joggers,Every 2 days,Every update
Mark Haberlin,4,376,401,4,4,4,444,hoodies,Once a month,No updates
Mark Hamilton,8,85,2456,3,2,2,322,shoes,Every 2 weeks,Updates on interest
Mark Packer,7,719,3206,4,2,2,422,hats,Every 2 weeks,Updates on interest
Mark Van Huff,9,27,1562,1,1,3,113,shoes,Every 2 days,Every update
Mary O'Rourke,4,72,922,2,4,4,244,shoes,Every 2 weeks,Updates on interest
Mary Zewe,6,282,2565,4,3,2,432,shoes,Every 2 weeks,Updates on interest
MaryBeth Skach,4,434,475,4,4,4,444,shirt,Once a month,No updates
Mathew Reese,4,125,640,3,4,4,344,tracksuits,Every 2 weeks,Updates on interest
Matt Abelman,11,64,4300,2,1,1,211,trendy sections,Every 2 days,Every update
Matt Collins,8,27,1304,1,2,3,123,joggers,Every 2 days,Every update
Matt Collister,6,51,2426,2,3,2,232,jeans,Every 2 weeks,Updates on interest
Matt Connell,8,112,2258,3,2,2,322,shoes,Every 2 weeks,Updates on interest
Matt Hagelstein,4,155,1253,3,4,3,343,oversize,Every 2 weeks,Updates on interest
Matthew Clasen,4,189,795,4,4,4,444,shirt,Once a month,No updates
Matthew Grinstein,7,29,3784,1,2,2,122,formals,Every 2 days,Every update
Maureen Fritzler,5,421,936,4,4,4,444,hats,Once a month,No updates
Maureen Gastineau,4,92,2350,3,4,2,342,jeans,Every 2 weeks,Updates on interest
Maureen Gnade,3,555,1343,4,4,3,443,trendy sections,Every 2 weeks,Updates on interest
Maurice Satty,6,413,1613,4,3,3,433,oversize,Every 2 weeks,Updates on interest
Max Engle,8,28,1909,1,2,3,123,trendy sections,Every 2 days,Every update
Max Jones,7,22,6321,1,2,1,121,jeans,Every 2 days,Every update
Max Ludwig,7,29,2072,1,2,3,123,shoes,Every 2 days,Every update
Maxwell Schwartz,9,121,3145,3,1,2,312,oversize,Every week,Every update
Maya Herman,7,98,2203,3,2,3,323,trendy sections,Every 2 weeks,Updates on interest
Meg O'Connel,8,104,1686,3,2,3,323,hats,Every 2 weeks,Updates on interest
Meg Tillman,6,49,2889,2,3,2,232,tracksuits,Every 2 weeks,Updates on interest
Melanie Seite,4,452,371,4,4,4,444,hoodies,Once a month,No updates
Michael Chen,7,1,3807,1,2,1,121,tracksuits,Every 2 days,Every update
Michael Dominguez,5,36,1205,2,4,3,243,jeans,Every 2 weeks,Updates on interest
Michael Grace,5,116,1241,3,4,3,343,shirt,Every 2 weeks,Updates on interest
Michael Granlund,9,99,777,3,1,4,314,hoodies,Every week,Every update
Michael Kennedy,8,28,2302,1,2,2,122,joggers,Every 2 days,Every update
Michael Moore,11,7,3794,1,1,1,111,hats,Every 2 days,Every update
Michael Nguyen,6,34,2477,2,3,2,232,joggers,Every 2 weeks,Updates on interest
Michael Oakman,2,180,154,3,4,4,344,oversize,Every 2 weeks,Updates on interest
Michael Paige,9,72,3983,2,1,1,211,hoodies,Every 2 days,Every update
Michael Stewart,6,26,855,1,3,4,134,joggers,Every 2 days,Every update
Michelle Arnett,6,186,2453,4,3,2,432,joggers,Every 2 weeks,Updates on interest
Michelle Ellison,4,92,1257,3,4,3,343,trendy sections,Every 2 weeks,Updates on interest
Michelle Huthwaite,5,49,2986,2,4,2,242,tracksuits,Every 2 weeks,Updates on interest
Michelle Lonsdale,3,79,742,3,4,4,344,trendy sections,Every 2 weeks,Updates on interest
Michelle Moray,8,61,2750,2,2,2,222,hoodies,Every 2 weeks,Updates on interest
Michelle Tran,4,203,1320,4,4,3,443,hoodies,Every 2 weeks,Updates on interest
Mick Brown,7,44,1429,2,2,3,223,jeans,Every 2 weeks,Updates on interest
Mick Crebagga,10,41,2220,2,1,3,213,trendy sections,Every week,Every update
Mick Hernandez,9,5,5503,1,1,1,111,polo,Every 2 days,Every update
Mike Caudle,5,369,1582,4,4,3,443,formals,Every 2 weeks,Updates on interest
Mike Gockenbach,4,84,3062,3,4,2,342,tracksuits,Every 2 weeks,Updates on interest
Mike Kennedy,4,240,1032,4,4,4,444,hoodies,Once a month,No updates
Mike Pelletier,9,16,5089,1,1,1,111,jeans,Every 2 days,Every update
Mike Vittorini,7,19,1735,1,2,3,123,trendy sections,Every 2 days,Every update
Mitch Gastineau,1,264,17,4,4,4,444,tracksuits,Once a month,No updates
Mitch Webber,7,17,5341,1,2,1,121,trendy sections,Every 2 days,Every update
Mitch Willingham,2,44,5254,2,4,1,241,joggers,Every 2 days,Every update
Monica Federle,5,7,1758,1,4,3,143,jeans,Every 2 days,Every update
Muhammed Lee,2,100,162,3,4,4,344,tracksuits,Every 2 weeks,Updates on interest
Muhammed MacIntyre,9,85,775,3,1,4,314,shoes,Every week,Every update
Muhammed Yedwab,11,71,4154,2,1,1,211,oversize,Every 2 days,Every update
Nancy Lomonaco,4,58,1419,2,4,3,243,oversize,Every 2 weeks,Updates on interest
Naresj Patel,6,25,5530,1,3,1,131,tracksuits,Every 2 days,Every update
Nat Carroll,5,224,2462,4,4,2,442,trendy sections,Every 2 weeks,Updates on interest
Nat Gilpin,5,48,1871,2,4,3,243,jeans,Every 2 weeks,Updates on interest
Natalie DeCherney,9,27,4326,1,1,1,111,formals,Every 2 days,Every update
Natalie Fritzler,7,79,8321,3,2,1,321,oversize,Every 2 days,Every update
Natalie Webber,7,172,7234,3,2,1,321,jeans,Every 2 days,Every update
Nathan Cano,6,41,2218,2,3,3,233,oversize,Every 2 weeks,Updates on interest
Nathan Gelder,5,48,1396,2,4,3,243,joggers,Every 2 weeks,Updates on interest
Nathan Mautz,7,160,6460,3,2,1,321,trendy sections,Every 2 days,Every update
Neil Ducich,6,183,2894,3,3,2,332,joggers,Every 2 weeks,Updates on interest
Neil Franzsisch,4,525,377,4,4,4,444,oversize,Once a month,No updates
Neil Knudson,7,70,572,2,2,4,224,shoes,Every 2 weeks,Updates on interest
Neola Schneider,4,6,2576,1,4,2,142,shoes,Every 2 days,Every update
Neoma Murray,10,244,2163,4,1,3,413,joggers,Every week,Every update
Nick Crebassa,7,6,8241,1,2,1,121,shoes,Every 2 days,Every update
Nick Radford,5,210,2368,4,4,2,442,oversize,Every 2 weeks,Updates on interest
Nick Zandusky,9,85,2488,3,1,2,312,tracksuits,Every week,Every update
Nicole Brennan,2,1166,274,4,4,4,444,joggers,Once a month,No updates
Nicole Fjeld,7,114,2031,3,2,3,323,formals,Every 2 weeks,Updates on interest
Nicole Hansen,7,189,2673,4,2,2,422,formals,Every 2 weeks,Updates on interest
Noah Childs,5,204,1821,4,4,3,443,shirt,Every 2 weeks,Updates on interest
Noel Staavos,13,174,2965,3,1,2,312,trendy sections,Every week,Every update
Nona Balk,9,19,1971,1,1,3,113,shoes,Every 2 days,Every update
Nora Paige,5,58,3909,2,4,1,241,shoes,Every 2 days,Every update
Nora Pelletier,6,406,1229,4,3,3,433,hoodies,Every 2 weeks,Updates on interest
Nora Preis,7,138,7903,3,2,1,321,polo,Every 2 days,Every update
Odella Nelson,9,410,1567,4,1,3,413,joggers,Every week,Every update
Olvera Toch,5,65,3819,2,4,1,241,hats,Every 2 days,Every update
Pamela Coakley,4,2,1832,1,4,3,143,shoes,Every 2 days,Every update
Pamela Stobb,6,107,2182,3,3,3,333,trendy sections,Every 2 weeks,Updates on interest
Parhena Norris,8,30,1467,1,2,3,123,shirt,Every 2 days,Every update
Patricia Hirasaki,1,70,730,2,4,4,244,formals,Every 2 weeks,Updates on interest
Patrick Bzostek,3,25,740,1,4,4,144,shoes,Every 2 days,Every update
Patrick Gardner,13,36,3087,2,1,2,212,shirt,Every week,Every update
Patrick Jones,8,39,1219,2,2,3,223,oversize,Every 2 weeks,Updates on interest
Patrick O'Brill,11,4,7474,1,1,1,111,oversize,Every 2 days,Every update
Patrick O'Donnell,7,0,2494,1,2,2,122,polo,Every 2 days,Every update
Patrick Ryan,5,36,1840,2,4,3,243,tracksuits,Every 2 weeks,Updates on interest
Paul Gonzalez,9,57,1988,2,1,3,213,hats,Every week,Every update
Paul Knutson,2,483,1441,4,4,3,443,hoodies,Every 2 weeks,Updates on interest
Paul Lucas,5,15,240,1,4,4,144,polo,Every 2 days,Every update
Paul MacIntyre,3,386,1406,4,4,3,443,jeans,Every 2 weeks,Updates on interest
Paul Prost,10,97,7254,3,1,1,311,hoodies,Every 2 days,Every update
Paul Stevenson,8,69,1278,2,2,3,223,joggers,Every 2 weeks,Updates on interest
Paul Van Hugh,5,89,2876,3,4,2,342,trendy sections,Every 2 weeks,Updates on interest
Pauline Chand,2,882,1062,4,4,4,444,jeans,Once a month,No updates
Pauline Johnson,7,134,1824,3,2,3,323,jeans,Every 2 weeks,Updates on interest
Pauline Webber,10,46,3455,2,1,2,212,polo,Every week,Every update
Penelope Sewall,7,236,6843,4,2,1,421,tracksuits,Every 2 days,Every update
Pete Armstrong,6,103,730,3,3,4,334,polo,Every 2 weeks,Updates on interest
Pete Kriz,12,9,8647,1,1,1,111,joggers,Every 2 days,Every update
Pete Takahito,4,71,160,2,4,4,244,formals,Every 2 weeks,Updates on interest
Peter Bhler,4,57,689,2,4,4,244,shoes,Every 2 weeks,Updates on interest
Peter Fuller,4,835,9063,4,4,1,441,shoes,Every 2 days,Every update
Peter McVee,4,51,4115,2,4,1,241,tracksuits,Every 2 days,Every update
Philip Brown,8,97,1456,3,2,3,323,joggers,Every 2 weeks,Updates on interest
Philip Fox,6,196,2770,4,3,2,432,tracksuits,Every 2 weeks,Updates on interest
Philisse Overcash,9,160,4893,3,1,1,311,shirt,Every 2 days,Every update
Phillina Ober,5,86,1056,3,4,4,344,shoes,Every 2 weeks,Updates on interest
Phillip Breyer,2,688,133,4,4,4,444,jeans,Once a month,No updates
Phillip Flathmann,5,114,2207,3,4,3,343,hats,Every 2 weeks,Updates on interest
Pierre Wener,7,464,3922,4,2,1,421,trendy sections,Every 2 days,Every update
Quincy Jones,9,25,6109,1,1,1,111,joggers,Every 2 days,Every update
Rachel Payne,4,496,954,4,4,4,444,hoodies,Once a month,No updates
Ralph Arnett,9,5,2618,1,1,2,112,tracksuits,Every 2 days,Every update
Ralph Kennedy,3,119,1460,3,4,3,343,trendy sections,Every 2 weeks,Updates on interest
Ralph Ritter,2,19,616,1,4,4,144,hoodies,Every 2 days,Every update
Randy Bradley,2,68,1008,2,4,4,244,trendy sections,Every 2 weeks,Updates on interest
Randy Ferguson,8,390,3310,4,2,2,422,hats,Every 2 weeks,Updates on interest
Raymond Buch,6,96,15117,3,3,1,331,hoodies,Every 2 days,Every update
Raymond Messe,6,345,1453,4,3,3,433,polo,Every 2 weeks,Updates on interest
Resi Plking,12,33,5154,2,1,1,211,oversize,Every 2 days,Every update
Ricardo Emerson,1,1098,48,4,4,4,444,polo,Once a month,No updates
Ricardo Sperren,5,76,3221,3,4,2,342,shoes,Every 2 weeks,Updates on interest
Richard Bierner,8,19,2664,1,2,2,122,oversize,Every 2 days,Every update
Richard Eichhorn,5,302,877,4,4,4,444,polo,Once a month,No updates
Rick Bensley,12,9,4716,1,1,1,111,oversize,Every 2 days,Every update
Rick Duston,8,72,4272,2,2,1,221,formals,Every 2 days,Every update
Rick Hansen,5,32,3622,2,4,2,242,oversize,Every 2 weeks,Updates on interest
Rick Huthwaite,6,467,6978,4,3,1,431,jeans,Every 2 days,Every update
Rick Reed,6,170,3301,3,3,2,332,tracksuits,Every 2 weeks,Updates on interest
Rick Wilson,7,120,7398,3,2,1,321,tracksuits,Every 2 days,Every update
Ritsa Hightower,2,519,740,4,4,4,444,jeans,Once a month,No updates
Rob Beeghly,5,25,529,1,4,4,144,trendy sections,Every 2 days,Every update
Rob Dowd,10,180,2914,3,1,2,312,shirt,Every week,Every update
Rob Haberlin,3,534,2086,4,4,3,443,trendy sections,Every 2 weeks,Updates on interest
Rob Lucas,8,121,6236,3,2,1,321,hoodies,Every 2 days,Every update
Rob Williams,9,89,3279,3,1,2,312,hoodies,Every week,Every update
Robert Barroso,5,648,222,4,4,4,444,oversize,Once a month,No updates
Robert Dilbeck,5,114,2787,3,4,2,342,polo,Every 2 weeks,Updates on interest
Robert Marley,5,6,5979,1,4,1,141,polo,Every 2 days,Every update
Robert Waldorf,5,79,3496,3,4,2,342,tracksuits,Every 2 weeks,Updates on interest
Roger Barcio,4,54,2068,2,4,3,243,joggers,Every 2 weeks,Updates on interest
Roger Demir,10,21,1420,1,1,3,113,trendy sections,Every 2 days,Every update
Roland Fjeld,7,89,2342,3,2,2,322,formals,Every 2 weeks,Updates on interest
Roland Murray,1,299,98,4,4,4,444,shoes,Once a month,No updates
Roland Schwarz,8,36,4160,2,2,1,221,hats,Every 2 days,Every update
Rose O'Brian,7,35,3816,2,2,1,221,polo,Every 2 days,Every update
Ross Baird,8,32,5633,2,2,1,221,hats,Every 2 days,Every update
Ross DeVincentis,8,14,1136,1,2,4,124,oversize,Every 2 days,Every update
Roy Collins,6,369,967,4,3,4,434,hats,Every 2 weeks,Updates on interest
Roy Franzsisch,8,6,945,1,2,4,124,shoes,Every 2 days,Every update
Roy Phan,8,28,2170,1,2,3,123,jeans,Every 2 days,Every update
Roy Skaria,2,19,23,1,4,4,144,shoes,Every 2 days,Every update
Ruben Ausman,7,43,3833,2,2,1,221,hats,Every 2 days,Every update
Ruben Dartt,9,114,3134,3,1,2,312,shoes,Every week,Every update
Russell Applegate,9,12,4793,1,1,1,111,shirt,Every 2 days,Every update
Russell D'Ascenzo,4,42,971,2,4,4,244,oversize,Every 2 weeks,Updates on interest
Ryan Akin,5,61,1686,2,4,3,243,trendy sections,Every 2 weeks,Updates on interest
Ryan Crowe,6,110,887,3,3,4,334,jeans,Every 2 weeks,Updates on interest
Sally Hughsby,13,29,3408,1,1,2,112,formals,Every 2 days,Every update
Sally Knutson,3,8,884,1,4,4,144,polo,Every 2 days,Every update
Sally Matthias,4,421,244,4,4,4,444,hoodies,Once a month,No updates
Sam Craven,5,781,3364,4,4,2,442,trendy sections,Every 2 weeks,Updates on interest
Sam Zeldin,11,35,3627,2,1,2,212,hoodies,Every week,Every update
Sample Company A,9,40,4625,2,1,1,211,oversize,Every 2 days,Every update
Sandra Flanagan,7,59,764,2,2,4,224,jeans,Every 2 weeks,Updates on interest
Sandra Glassco,3,8,3406,1,4,2,142,tracksuits,Every 2 days,Every update
Sanjit Chand,9,349,14143,4,1,1,411,polo,Every 2 days,Every update
Sanjit Engle,11,9,12210,1,1,1,111,shirt,Every 2 days,Every update
Sanjit Jacobs,12,95,3949,3,1,1,311,tracksuits,Every 2 days,Every update
Saphhira Shifley,8,15,1324,1,2,3,123,oversize,Every 2 days,Every update
Sara Luxemburg,7,70,3053,2,2,2,222,trendy sections,Every 2 weeks,Updates on interest
Sarah Bern,3,201,1349,4,4,3,443,shirt,Every 2 weeks,Updates on interest
Sarah Brown,6,188,6412,4,3,1,431,shoes,Every 2 days,Every update
Sarah Foster,9,59,3424,2,1,2,212,hats,Every week,Every update
Sarah Jordon,6,29,1341,1,3,3,133,shirt,Every 2 days,Every update
Scot Coram,4,149,4372,3,4,1,341,formals,Every 2 days,Every update
Scot Wooten,7,81,1085,3,2,4,324,oversize,Every 2 weeks,Updates on interest
Scott Cohen,8,187,3730,4,2,2,422,joggers,Every 2 weeks,Updates on interest
Scott Williamson,6,30,1966,1,3,3,133,hats,Every 2 days,Every update
Sean Braxton,7,47,8058,2,2,1,221,hoodies,Every 2 days,Every update
Sean Christensen,7,29,3980,1,2,1,121,polo,Every 2 days,Every update
Sean Miller,5,79,25042,3,4,1,341,hoodies,Every 2 days,Every update
Sean O'Donnell,6,29,2603,1,3,2,132,shirt,Every 2 days,Every update
Sean Wendt,3,162,1019,3,4,4,344,hoodies,Every 2 weeks,Updates on interest
Seth Vernon,10,101,11471,3,1,1,311,formals,Every 2 days,Every update
Shahid Collister,9,30,5993,1,1,1,111,oversize,Every 2 days,Every update
